Date,numVisit,From,To,Description,,,,
2018-07-23,6,Senegal,South Africa,"Xi Jinping travelled to South Africa, Johannesburg and met with the following: • Cyril Ramaphosa (South African President) • Michel Teme (Brazilian President) • Vladimir Putin (Russian President)• Narendra Modi (Indian Prime Minister)• Recep Erdogan (Turkish President)• Yoweri Museveni (Ugandan President)",,,,
2018-07-24,6,Senegal,South Africa,"Xi Jinping travelled to South Africa, Johannesburg and met with the following: • Cyril Ramaphosa (South African President) • Michel Teme (Brazilian President) • Vladimir Putin (Russian President)• Narendra Modi (Indian Prime Minister)• Recep Erdogan (Turkish President)• Yoweri Museveni (Ugandan President)",,,,
2018-07-25,6,Senegal,South Africa,"Xi Jinping travelled to South Africa, Johannesburg and met with the following: • Cyril Ramaphosa (South African President) • Michel Teme (Brazilian President) • Vladimir Putin (Russian President)• Narendra Modi (Indian Prime Minister)• Recep Erdogan (Turkish President)• Yoweri Museveni (Ugandan President)",,,,
2018-07-26,6,Senegal,South Africa,"Xi Jinping travelled to South Africa, Johannesburg and met with the following: • Cyril Ramaphosa (South African President) • Michel Teme (Brazilian President) • Vladimir Putin (Russian President)• Narendra Modi (Indian Prime Minister)• Recep Erdogan (Turkish President)• Yoweri Museveni (Ugandan President)",,,,
2018-07-23,6,Senegal,South Africa,"Xi Jinping travelled to South Africa, Johannesburg and met with the following: • Cyril Ramaphosa (South African President) • Michel Teme (Brazilian President) • Vladimir Putin (Russian President)• Narendra Modi (Indian Prime Minister)• Recep Erdogan (Turkish President)• Yoweri Museveni (Ugandan President)",,,,
2018-07-23,6,Senegal,South Africa,"Xi Jinping travelled to South Africa, Johannesburg and met with the following: • Cyril Ramaphosa (South African President) • Michel Teme (Brazilian President) • Vladimir Putin (Russian President)• Narendra Modi (Indian Prime Minister)• Recep Erdogan (Turkish President)• Yoweri Museveni (Ugandan President)",,,,
2018-07-27,1,South Africa,Mauritius,"Xi Jinping travelled to Mauritius, Port Louis and met with the following: • Pravind Jugnauth (Mauritian Prime Minister)",,,,
2018-07-28,1,South Africa,Mauritius,"Xi Jinping travelled to Mauritius, Port Louis and met with the following: • Pravind Jugnauth (Mauritian Prime Minister)",,,,
2018-08-20,1,Vietnam,China,Xi Jinping was in Beijing Municipality and met with the following: • Tran Quoc Vuong (Politburo member and permanent member of the CPV Central Committee's Secretariat),,,,
2018-08-30,1,Cote d'Ivoire,China,Xi Jinping was in Beijing Municipality and met with the following: • Alassane Ouattara (President of Cote d'Ivoire),,,,
2018-08-30,1,Sierra Leonean,China,Xi Jinping was in Beijing Municipality and met with the following: • Julius Maada Bio (Sierra Leonean President),,,,
2018-08-31,1,Mali,China,Xi Jinping was in Beijing Municipality and met with the following: • Ibrahim Boubacar Keita (Malian President),,,,
2018-08-31,1,Burkina Faso,China,Xi Jinping was in Beijing Municipality and met with the following: • Roch Marc Christian Kabore (President of Burkina Faso),,,,
2018-09-01,1,Egypt,China,Xi Jinping was in Beijing Municipality and met with the following: • Abdel-Fattah al-Sisi (President of Egypt),,,,
2018-09-02,1,South Africa,China,Xi Jinping was in Beijing Municipality and met with the following: • Cyril Ramaphosa (South African President),,,,
2018-09-02,1,Mauritania,China,Xi Jinping was in Beijing Municipality and met with the following: • Mohamed Ould Abdel Aziz (Mauritanian President),,,,
2018-09-02,1,Angola,China,Xi Jinping was in Beijing Municipality and met with the following: • Joao Lourenco (Angolan President),,,,
2018-09-02,1,Ethopia,China,Xi Jinping was in Beijing Municipality and met with the following: • Abiy Ahmed Ali (Prime Minister of Ethiopia),,,,
2018-09-02,1,Djibouti,China,Xi Jinping was in Beijing Municipality and met with the following: • Ismail Omar Guelleh (Djiboutian President),,,,
2018-09-04,1,Senegal,China,Xi Jinping was in Beijing Municipality and met with the following: • Macky Sall (Senegalese President),,,,
2018-09-04,1,South Africa,China,Xi Jinping was in Beijing Municipality and met with the following: • Cyril Ramaphosa (South African President),,,,
2018-09-05,1,Tunisia,China,Xi Jinping was in Beijing Municipality and met with the following: • Youssef Chahed (Tunisian Prime Minister),,,,
2018-09-06,1,Uganda,China,Xi Jinping was in Beijing Municipality and met with the following: • Yoweri Museveni (Ugandan President),,,,
2018-09-06,1,Cape Verde,China,Xi Jinping was in Beijing Municipality and met with the following: • Ulisses Correia e Silva (Prime Minister of Cape Verde),,,,
2018-09-06,1,Brundi,China,Xi Jinping was in Beijing Municipality and met with the following: • Joseph Butore (Burundi's Second Vice-President),,,,
2018-09-06,1,Central African Republic,China,Xi Jinping was in Beijing Municipality and met with the following: • Faustin Archange Touadera (Central African Republic President),,,,
2018-09-06,1,Togo,China,Xi Jinping was in Beijing Municipality and met with the following: • Faure Gnassingbe (Togolese President),,,,
2018-09-06,1,Tanzania,China,Xi Jinping was in Beijing Municipality and met with the following: • Kassim Majaliwa (Tanzanian Prime Minister),,,,
2018-09-06,1,Congo,China,Xi Jinping was in Beijing Municipality and met with the following: • Bruno Tshibala (Prime Minister of the Democratic Republic of the Congo),,,,
2018-09-06,1,Lesotho,China,Xi Jinping was in Beijing Municipality and met with the following: • Motsoahae Thomas Thabane ( Prime Minister of Lesotho),,,,
2018-09-11,1,China,Russia,"Xi Jinping travelled to Russia, Vladivostok and met with the following: • Vladimir Putin (Russian President)",,,,
2018-09-12,1,China,Russia,"Xi Jinping travelled to Russia, Vladivostok and met with the following: • Khaltmaa Battulga (Mongolian President)",,,,
2018-09-13,1,China,Russia,"Xi Jinping travelled to Russia, Vladivostok and met with the following: • Shinzo Abe (Japanese Prime Minister)",,,,
2018-09-14,1,Venezuela,China,Xi Jinping was in Beijing Municipality and met with the following: • Nicolas Maduro (President of Venezuela),,,,
2018-09-19,1,Pakistan,China,Xi Jinping was in Beijing Municipality and met with the following: • Qamar Javed Bajwa (Pakistan Chief of Army Staff),,,,
