Hawker Centre,Stall No,Approx. Stall Area (sqm),Trade,Tendered Bid (per month),Month of Tender
AMOY STREET FOOD CENTRE,01-36,5.65,COOKED FOOD,4008,Nov-2022
AMOY STREET FOOD CENTRE,01-36,5.65,COOKED FOOD,4500,Sep-2023
AMOY STREET FOOD CENTRE,01-36,5.65,COOKED FOOD,5388,Jul-2024
AMOY STREET FOOD CENTRE,01-53,5.65,COOKED FOOD,4200,Dec-2020
AMOY STREET FOOD CENTRE,01-53,5.65,COOKED FOOD,2081,Sep-2021
AMOY STREET FOOD CENTRE,01-54,5.7,COOKED FOOD,4018,Nov-2020
AMOY STREET FOOD CENTRE,01-58,5.65,COOKED FOOD,2388,May-2023
AMOY STREET FOOD CENTRE,02-58,5.65,COOKED FOOD,5880,Jan-2023
AMOY STREET FOOD CENTRE,02-59,5.65,COOKED FOOD,3699,Jan-2023
AMOY STREET FOOD CENTRE,01-60,5.65,COOKED FOOD,3501,May-2018
AMOY STREET FOOD CENTRE,01-60,5.65,DRINKS,3889,Feb-2019
AMOY STREET FOOD CENTRE,01-68,5.65,INDIAN CUISINE,2811,Jun-2018
AMOY STREET FOOD CENTRE,01-68,5.65,HALAL COOKED FOOD,1800,Nov-2020
AMOY STREET FOOD CENTRE,01-68,5.65,HALAL COOKED FOOD,2188,Feb-2022
AMOY STREET FOOD CENTRE,01-68,5.65,HALAL COOKED FOOD,2026,May-2023
AMOY STREET FOOD CENTRE,01-69,5.7,INDIAN CUISINE,2259,Jan-2021
AMOY STREET FOOD CENTRE,01-69,5.7,INDIAN CUISINE,1819,Feb-2023
AMOY STREET FOOD CENTRE,01-70,5.7,HALAL COOKED FOOD,1818,Feb-2023
AMOY STREET FOOD CENTRE,01-70,5.7,HALAL COOKED FOOD,2008,Jan-2024
AMOY STREET FOOD CENTRE,02-70,5.7,INDIAN CUISINE,1150,Jul-2021
AMOY STREET FOOD CENTRE,01-71,5.65,HALAL COOKED FOOD,2002,Mar-2018
AMOY STREET FOOD CENTRE,01-71,5.65,HALAL COOKED FOOD,2507,May-2024
AMOY STREET FOOD CENTRE,01-72,5.65,HALAL COOKED FOOD,1799,Dec-2020
AMOY STREET FOOD CENTRE,01-72,5.65,HALAL COOKED FOOD,3127,Nov-2022
AMOY STREET FOOD CENTRE,01-72,5.65,HALAL COOKED FOOD,2088,Oct-2024
AMOY STREET FOOD CENTRE,01-73,5.65,INDIAN CUISINE,2805,Jan-2020
AMOY STREET FOOD CENTRE,01-73,5.65,HALAL COOKED FOOD,3020,Aug-2020
AMOY STREET FOOD CENTRE,02-79,5.65,COOKED FOOD,2799.9,Feb-2018
AMOY STREET FOOD CENTRE,02-82,5.65,COOKED FOOD,2189,Dec-2022
AMOY STREET FOOD CENTRE,02-84,5.7,INDIAN CUISINE,1555,Dec-2020
AMOY STREET FOOD CENTRE,02-86,5.65,HALAL COOKED FOOD,1851,Aug-2018
AMOY STREET FOOD CENTRE,01-87,5.65,HALAL COOKED FOOD,1855,Mar-2019
AMOY STREET FOOD CENTRE,01-87,5.65,HALAL COOKED FOOD,303,Jan-2023
AMOY STREET FOOD CENTRE,02-87,5.65,HALAL COOKED FOOD,2000,Sep-2018
AMOY STREET FOOD CENTRE,02-87,5.65,HALAL COOKED FOOD,1051,Aug-2021
AMOY STREET FOOD CENTRE,01-88,5.65,HALAL COOKED FOOD,2088,Dec-2020
AMOY STREET FOOD CENTRE,01-88,5.65,HALAL COOKED FOOD,188,Jan-2023
AMOY STREET FOOD CENTRE,02-88,5.65,HALAL COOKED FOOD,1500,Jul-2018
AMOY STREET FOOD CENTRE,02-88,5.65,HALAL COOKED FOOD,1509,Apr-2019
AMOY STREET FOOD CENTRE,02-88,5.65,COOKED FOOD,2010,Oct-2019
AMOY STREET FOOD CENTRE,02-88,5.65,INDIAN CUISINE,2208,Feb-2024
AMOY STREET FOOD CENTRE,02-88,5.65,HALAL COOKED FOOD,2088,Jun-2024
AMOY STREET FOOD CENTRE,02-92,5.65,INDIAN CUISINE,2022,Feb-2022
AMOY STREET FOOD CENTRE,02-92,5.65,COOKED FOOD,4638,Feb-2024
AMOY STREET FOOD CENTRE,02-98,5.65,COOKED FOOD,3788,Mar-2023
AMOY STREET FOOD CENTRE,01-99,5.65,COOKED FOOD,2810,Mar-2020
AMOY STREET FOOD CENTRE,02-99,5.65,COOKED FOOD,2899,Nov-2020
AMOY STREET FOOD CENTRE,01-15,5.65,COOKED FOOD,4000,Sep-2018
AMOY STREET FOOD CENTRE,01-15,5.65,COOKED FOOD,4000,Jul-2019
AMOY STREET FOOD CENTRE,01-15,5.65,INDIAN CUISINE,1819,Mar-2020
AMOY STREET FOOD CENTRE,01-15,5.65,COOKED FOOD,3802,Oct-2022
AMOY STREET FOOD CENTRE,01-15,5.65,COOKED FOOD,4999,May-2024
AMOY STREET FOOD CENTRE,01-19,5.65,COOKED FOOD,4228,Sep-2021
AMOY STREET FOOD CENTRE,01-19,5.65,COOKED FOOD,5688,Feb-2024
AMOY STREET FOOD CENTRE,01-22,5.65,DRINKS,4688,Feb-2022
AMOY STREET FOOD CENTRE,01-10,5.65,COOKED FOOD,2988,Mar-2018
AMOY STREET FOOD CENTRE,01-10,5.65,COOKED FOOD,3900,Nov-2018
AMOY STREET FOOD CENTRE,01-10,5.65,COOKED FOOD,3688.88,Apr-2019
AMOY STREET FOOD CENTRE,01-11,5.65,COOKED FOOD,4688,Jan-2023
AMOY STREET FOOD CENTRE,01-11,5.65,COOKED FOOD,3810,May-2023
AMOY STREET FOOD CENTRE,01-11,5.65,INDIAN CUISINE,3588,Apr-2024
AMOY STREET FOOD CENTRE,01-28,5.65,COOKED FOOD,2200,May-2023
AMOY STREET FOOD CENTRE,01-70,5.7,HALAL COOKED FOOD,1601,Dec-2018
BEDOK FOOD CENTRE,01-32,8.84,HALAL COOKED FOOD,3500,Aug-2020
BEDOK FOOD CENTRE,01-32,8.84,HALAL COOKED FOOD,4556,Jul-2023
BEDOK FOOD CENTRE,01-17,8.84,COOKED FOOD,2800,Nov-2018
BEDOK FOOD CENTRE,01-17,8.84,HALAL COOKED FOOD,1710,Feb-2019
BEDOK FOOD CENTRE,01-17,8.84,HALAL COOKED FOOD,3002,Aug-2020
BEDOK FOOD CENTRE,01-18,8.84,INDIAN CUISINE,2300,Nov-2019
BEDOK FOOD CENTRE,01-20,8.84,HALAL COOKED FOOD,2808,Apr-2018
BEDOK FOOD CENTRE,01-20,8.84,COOKED FOOD,3001,Dec-2018
BEDOK FOOD CENTRE,01-20,8.84,INDIAN CUISINE,2550,Aug-2019
BEDOK FOOD CENTRE,01-20,8.84,HALAL COOKED FOOD,3690,Mar-2022
BEDOK FOOD CENTRE,01-20,8.84,HALAL COOKED FOOD,3706,Feb-2023
BEDOK FOOD CENTRE,01-23,8.84,HALAL COOKED FOOD,4850,Jul-2024
BEDOK FOOD CENTRE,01-24,8.84,HALAL COOKED FOOD,5050,Nov-2024
BEO CRESCENT MARKET,01-64,6.95,COOKED FOOD,3333.33,Feb-2023
BEO CRESCENT MARKET,01-70,6.95,DRINKS,4586,Nov-2022
BEO CRESCENT MARKET,01-80,6.95,HALAL COOKED FOOD,1658,Feb-2024
BEO CRESCENT MARKET,01-81,6.95,COOKED FOOD,3000,Apr-2019
BEO CRESCENT MARKET,01-81,6.95,INDIAN CUISINE,112,Sep-2020
BEO CRESCENT MARKET,01-81,6.95,INDIAN CUISINE,88,Sep-2021
BEO CRESCENT MARKET,01-82,6.95,DRINKS,4080,Apr-2024
BEO CRESCENT MARKET,01-87,6.95,DRINKS,4658,Oct-2021
BEO CRESCENT MARKET,01-89,6.95,INDIAN CUISINE,189,Jan-2022
BEO CRESCENT MARKET,01-89,6.95,COOKED FOOD,3602,Nov-2023
BEO CRESCENT MARKET,01-91,6.95,HALAL COOKED FOOD,318.83,Jul-2018
BEO CRESCENT MARKET,01-91,6.95,COOKED FOOD,3499,Mar-2024
BEO CRESCENT MARKET,01-92,6.95,HALAL COOKED FOOD,1414,Mar-2021
BERSEH FOOD CENTRE,02-33,10.08,COOKED FOOD,1388,Aug-2018
BERSEH FOOD CENTRE,02-33,10.08,COOKED FOOD,810,Jun-2019
BERSEH FOOD CENTRE,02-33,10.08,DRINKS,999,Feb-2020
BERSEH FOOD CENTRE,02-33,10.08,COOKED FOOD,1288,Sep-2020
BERSEH FOOD CENTRE,02-33,10.08,COOKED FOOD,1089,Feb-2023
BERSEH FOOD CENTRE,02-33,10.08,COOKED FOOD,888,Jul-2024
BERSEH FOOD CENTRE,02-36,7.29,HALAL COOKED FOOD,400,Jun-2018
BERSEH FOOD CENTRE,02-36,7.29,COOKED FOOD,1389,Dec-2018
BERSEH FOOD CENTRE,02-36,7.29,COOKED FOOD,2012,Jun-2023
BERSEH FOOD CENTRE,02-45,7.29,DRINKS,2018,Feb-2018
BERSEH FOOD CENTRE,02-45,7.29,COOKED FOOD,1355,May-2018
BERSEH FOOD CENTRE,02-52,7.29,COOKED FOOD,899,Aug-2019
BERSEH FOOD CENTRE,02-52,7.29,HALAL COOKED FOOD,100,Jul-2020
BERSEH FOOD CENTRE,02-52,7.29,HALAL COOKED FOOD,188,Oct-2021
BERSEH FOOD CENTRE,02-52,7.29,INDIAN CUISINE,106,Dec-2022
BERSEH FOOD CENTRE,01-53,7.29,HALAL COOKED FOOD,16,Jan-2023
BERSEH FOOD CENTRE,02-53,7.29,COOKED FOOD,500,Aug-2019
BERSEH FOOD CENTRE,02-53,7.29,HALAL COOKED FOOD,20,Sep-2020
BERSEH FOOD CENTRE,02-53,7.29,INDIAN CUISINE,450,Mar-2021
BERSEH FOOD CENTRE,02-53,7.29,HALAL COOKED FOOD,1500,Aug-2021
BERSEH FOOD CENTRE,02-53,7.29,HALAL COOKED FOOD,108,Oct-2023
BERSEH FOOD CENTRE,02-54,7.29,COOKED FOOD,1200,Jun-2018
BERSEH FOOD CENTRE,02-54,7.29,COOKED FOOD,1455,Jan-2019
BERSEH FOOD CENTRE,02-54,7.29,INDIAN CUISINE,250,Nov-2020
BERSEH FOOD CENTRE,02-54,7.29,INDIAN CUISINE,400,May-2021
BERSEH FOOD CENTRE,02-55,7.29,COOKED FOOD,1108,Jul-2020
BERSEH FOOD CENTRE,01-61,7.29,DRINKS,587,Feb-2018
BERSEH FOOD CENTRE,02-61,7.29,COOKED FOOD,1500,Jul-2020
BERSEH FOOD CENTRE,02-61,7.29,COOKED FOOD,2342,Feb-2023
BERSEH FOOD CENTRE,02-61,7.29,COOKED FOOD,1650,May-2024
BERSEH FOOD CENTRE,01-62,7.29,DRINKS,1250,Feb-2018
BERSEH FOOD CENTRE,02-62,7.29,DRINKS,1818,Jan-2019
BERSEH FOOD CENTRE,02-62,7.29,INDIAN CUISINE,786,Oct-2019
BERSEH FOOD CENTRE,02-62,7.29,COOKED FOOD,1788,Aug-2020
BERSEH FOOD CENTRE,02-62,7.29,COOKED FOOD,1550,Mar-2023
BERSEH FOOD CENTRE,02-62,7.29,COOKED FOOD,1580,Oct-2023
BERSEH FOOD CENTRE,02-62,7.29,COOKED FOOD,1909,May-2024
BERSEH FOOD CENTRE,01-13,7.29,HALAL COOKED FOOD,159,Jan-2018
BERSEH FOOD CENTRE,01-13,7.29,HALAL COOKED FOOD,1900,Sep-2021
BERSEH FOOD CENTRE,01-13,7.29,HALAL COOKED FOOD,1266,Apr-2022
BERSEH FOOD CENTRE,01-13,7.29,HALAL COOKED FOOD,313,Mar-2023
BERSEH FOOD CENTRE,01-13,7.29,HALAL COOKED FOOD,750,Nov-2023
BERSEH FOOD CENTRE,01-13,7.29,HALAL COOKED FOOD,565.4,Mar-2024
BERSEH FOOD CENTRE,01-16,7.29,COOKED FOOD,1000,Jan-2018
BERSEH FOOD CENTRE,01-18,7.29,HALAL COOKED FOOD,33,Aug-2018
BERSEH FOOD CENTRE,01-18,7.29,HALAL COOKED FOOD,71,Apr-2019
BERSEH FOOD CENTRE,01-18,7.29,HALAL COOKED FOOD,280,Oct-2019
BERSEH FOOD CENTRE,01-18,7.29,COOKED FOOD,399,Oct-2020
BERSEH FOOD CENTRE,01-18,7.29,HALAL COOKED FOOD,300,Nov-2021
BERSEH FOOD CENTRE,01-18,7.29,HALAL COOKED FOOD,100,Mar-2023
BERSEH FOOD CENTRE,01-18,7.29,HALAL COOKED FOOD,45,Sep-2024
BERSEH FOOD CENTRE,01-19,7.29,HALAL COOKED FOOD,250,Aug-2018
BERSEH FOOD CENTRE,01-19,7.29,HALAL COOKED FOOD,250,Sep-2019
BERSEH FOOD CENTRE,01-19,7.29,INDIAN CUISINE,700,Jan-2022
BERSEH FOOD CENTRE,01-19,7.29,HALAL COOKED FOOD,18,Oct-2023
BERSEH FOOD CENTRE,01-19,7.29,HALAL COOKED FOOD,1800,Jun-2023
BERSEH FOOD CENTRE,01-05,7.29,COOKED FOOD,855,May-2024
BERSEH FOOD CENTRE,01-05,7.29,COOKED FOOD,887,Jun-2023
BERSEH FOOD CENTRE,01-07,7.29,COOKED FOOD,1801,Sep-2020
BERSEH FOOD CENTRE,01-10,7.29,HALAL COOKED FOOD,404,Mar-2018
BERSEH FOOD CENTRE,01-10,7.29,HALAL COOKED FOOD,400,Sep-2019
BERSEH FOOD CENTRE,01-10,7.29,INDIAN CUISINE,90,May-2023
BERSEH FOOD CENTRE,01-10,7.29,HALAL COOKED FOOD,90,Sep-2024
BERSEH FOOD CENTRE,01-11,7.29,INDIAN CUISINE,501,Aug-2018
BERSEH FOOD CENTRE,01-11,7.29,INDIAN CUISINE,250,Jul-2019
BERSEH FOOD CENTRE,01-11,7.29,HALAL COOKED FOOD,144,Nov-2019
BERSEH FOOD CENTRE,01-12,7.29,HALAL COOKED FOOD,88,Aug-2018
BERSEH FOOD CENTRE,01-12,7.29,INDIAN CUISINE,100,Jan-2020
BERSEH FOOD CENTRE,01-12,7.29,HALAL COOKED FOOD,600,Jul-2023
BERSEH FOOD CENTRE,01-12,7.29,HALAL COOKED FOOD,351,Dec-2023
BERSEH FOOD CENTRE,01-27,7.29,COOKED FOOD,1000,Jan-2018
BERSEH FOOD CENTRE,02-27,7.29,COOKED FOOD,800,May-2018
BERSEH FOOD CENTRE,01-10,7.29,HALAL COOKED FOOD,350,Dec-2021
BK 49 SIMS PLACE,01-02,8.1,INDIAN CUISINE,1800,Oct-2024
BLK 1 JALAN KUKOH,01-14,7.85,COOKED FOOD,911,Nov-2019
BLK 1 JALAN KUKOH,01-16,7.85,INDIAN CUISINE,200,Mar-2018
BLK 1 JALAN KUKOH,01-16,7.85,INDIAN CUISINE,555,Nov-2018
BLK 1 JALAN KUKOH,01-16,7.85,HALAL COOKED FOOD,20,Mar-2020
BLK 1 JALAN KUKOH,01-18,7.85,INDIAN CUISINE,505,Nov-2024
BLK 1 JALAN KUKOH,01-06,7.85,INDIAN CUISINE,456,Apr-2018
BLK 1 JALAN KUKOH,01-06,7.85,HALAL COOKED FOOD,750,Aug-2018
BLK 1 JALAN KUKOH,01-06,7.85,HALAL COOKED FOOD,105,Oct-2022
BLK 1 JALAN KUKOH,01-07,7.85,HALAL COOKED FOOD,250,May-2019
BLK 1 JALAN KUKOH,01-07,7.85,HALAL COOKED FOOD,300,Jul-2020
BLK 1 JALAN KUKOH,01-07,7.85,INDIAN CUISINE,39,Oct-2022
BLK 1 JALAN KUKOH,01-07,7.85,INDIAN CUISINE,138,Apr-2024
BLK 1 JALAN KUKOH,01-06,7.85,INDIAN CUISINE,50,Oct-2021
BLK 1 JALAN KUKOH,01-07,7.85,HALAL COOKED FOOD,56,Feb-2021
BLK 105 HOUGANG AVENUE 1,02-35,9.6,INDIAN CUISINE,1788.8,Dec-2022
BLK 105 HOUGANG AVENUE 1,02-35,9.6,INDIAN CUISINE,2201,Apr-2024
BLK 11 TELOK BLANGAH CRESCENT,01-96,9.3,HALAL COOKED FOOD,1500,Mar-2018
BLK 112 JALAN BUKIT MERAH,01-13,8.82,COOKED FOOD,1500,May-2018
BLK 112 JALAN BUKIT MERAH,01-13,8.82,INDIAN CUISINE,51,Aug-2020
BLK 112 JALAN BUKIT MERAH,01-13,8.82,COOKED FOOD,2130,Aug-2022
BLK 112 JALAN BUKIT MERAH,01-18,8.82,COOKED FOOD,1018,Jan-2018
BLK 112 JALAN BUKIT MERAH,01-19,8.82,HALAL COOKED FOOD,200,Jul-2018
BLK 112 JALAN BUKIT MERAH,01-19,8.82,HALAL COOKED FOOD,323,Oct-2018
BLK 112 JALAN BUKIT MERAH,01-22,8.82,COOKED FOOD,1730,Feb-2020
BLK 112 JALAN BUKIT MERAH,01-22,8.82,COOKED FOOD,2188,Aug-2022
BLK 112 JALAN BUKIT MERAH,01-22,8.82,COOKED FOOD,2018,Dec-2022
BLK 115 BUKIT MERAH VIEW,01-35,8.52,COOKED FOOD,3638,Oct-2018
BLK 115 BUKIT MERAH VIEW,01-35,8.52,DRINKS,3909,Jul-2019
BLK 115 BUKIT MERAH VIEW,01-53,8.52,HALAL COOKED FOOD,1200,Nov-2023
BLK 115 BUKIT MERAH VIEW,01-53,8.52,COOKED FOOD,3902,Oct-2024
BLK 115 BUKIT MERAH VIEW,01-58,8.52,COOKED FOOD,3300,Jul-2024
BLK 115 BUKIT MERAH VIEW,01-61,8.52,INDIAN CUISINE,1000,Mar-2018
BLK 115 BUKIT MERAH VIEW,01-61,8.52,HALAL COOKED FOOD,800,Aug-2018
BLK 115 BUKIT MERAH VIEW,01-62,8.52,COOKED FOOD,3869,Dec-2021
BLK 115 BUKIT MERAH VIEW,01-62,8.52,INDIAN CUISINE,60,Feb-2023
BLK 115 BUKIT MERAH VIEW,01-62,8.52,COOKED FOOD,4208,May-2024
BLK 115 BUKIT MERAH VIEW,01-65,8.52,INDIAN CUISINE,888,May-2024
BLK 115 BUKIT MERAH VIEW,01-68,8.52,HALAL COOKED FOOD,400,Jul-2023
BLK 115 BUKIT MERAH VIEW,01-76,8.52,INDIAN CUISINE,1501,Apr-2024
BLK 115 BUKIT MERAH VIEW,01-25,8.52,HALAL COOKED FOOD,889,May-2018
BLK 115 BUKIT MERAH VIEW,01-25,8.52,HALAL COOKED FOOD,401,Sep-2018
BLK 115 BUKIT MERAH VIEW,01-25,8.52,INDIAN CUISINE,688,Mar-2019
BLK 115 BUKIT MERAH VIEW,01-12,8.52,HALAL COOKED FOOD,1200,Mar-2018
BLK 115 BUKIT MERAH VIEW,01-12,8.52,HALAL COOKED FOOD,513.8,Jan-2019
BLK 115 BUKIT MERAH VIEW,01-12,8.52,COOKED FOOD,3103.33,Nov-2023
BLK 115 BUKIT MERAH VIEW,01-61,8.52,COOKED FOOD,3689,Sep-2021
BLK 115 BUKIT MERAH VIEW,01-62,8.52,COOKED FOOD,4178,Sep-2020
BLK 117 ALJUNIED AVENUE 2,01-36,6,INDIAN CUISINE,1000,Aug-2020
BLK 117 ALJUNIED AVENUE 2,01-36,6,HALAL COOKED FOOD,1550,Feb-2022
BLK 117 ALJUNIED AVENUE 2,01-36,6,HALAL COOKED FOOD,1200,Dec-2022
BLK 117 ALJUNIED AVENUE 2,01-36,6,HALAL COOKED FOOD,778,Aug-2023
BLK 117 ALJUNIED AVENUE 2,01-38,6,HALAL COOKED FOOD,1250,Jan-2018
BLK 117 ALJUNIED AVENUE 2,01-38,6,HALAL COOKED FOOD,200,Apr-2018
BLK 117 ALJUNIED AVENUE 2,01-39,6,INDIAN CUISINE,701,Oct-2023
BLK 117 ALJUNIED AVENUE 2,01-39,6,HALAL COOKED FOOD,202,Aug-2024
BLK 117 ALJUNIED AVENUE 2,01-41,6,INDIAN CUISINE,300,Aug-2019
BLK 117 ALJUNIED AVENUE 2,01-41,6,HALAL COOKED FOOD,250,Nov-2023
BLK 117 ALJUNIED AVENUE 2,01-42,6,HALAL COOKED FOOD,600,Jun-2018
BLK 117 ALJUNIED AVENUE 2,01-42,6,INDIAN CUISINE,501,Dec-2020
BLK 117 ALJUNIED AVENUE 2,01-42,6,HALAL COOKED FOOD,1260,Sep-2023
BLK 117 ALJUNIED AVENUE 2,01-42,6,INDIAN CUISINE,350,Jul-2024
BLK 117 ALJUNIED AVENUE 2,01-43,6,HALAL COOKED FOOD,600,Jan-2018
BLK 117 ALJUNIED AVENUE 2,01-46,6,DRINKS,2699,May-2018
BLK 117 ALJUNIED AVENUE 2,01-46,6,HALAL COOKED FOOD,300,May-2019
BLK 117 ALJUNIED AVENUE 2,01-46,6,DRINKS,3145,Jan-2021
BLK 117 ALJUNIED AVENUE 2,01-48,6,DRINKS,2103,Sep-2018
BLK 117 ALJUNIED AVENUE 2,01-52,6,HALAL COOKED FOOD,400,Jan-2018
BLK 117 ALJUNIED AVENUE 2,01-58,6,COOKED FOOD,2180,Jun-2018
BLK 117 ALJUNIED AVENUE 2,01-58,6,COOKED FOOD,2180,Sep-2018
BLK 117 ALJUNIED AVENUE 2,01-58,6,COOKED FOOD,2000,Jul-2019
BLK 117 ALJUNIED AVENUE 2,01-58,6,COOKED FOOD,2689,Aug-2020
BLK 117 ALJUNIED AVENUE 2,01-60,6,COOKED FOOD,2218,Mar-2018
BLK 117 ALJUNIED AVENUE 2,01-60,6,COOKED FOOD,1880,Mar-2019
BLK 117 ALJUNIED AVENUE 2,01-67,6,COOKED FOOD,2280,Dec-2018
BLK 117 ALJUNIED AVENUE 2,01-67,6,INDIAN CUISINE,9.9,Jul-2023
BLK 117 ALJUNIED AVENUE 2,01-68,6,COOKED FOOD,2000,Dec-2018
BLK 117 ALJUNIED AVENUE 2,01-68,6,INDIAN CUISINE,213,Jul-2020
BLK 117 ALJUNIED AVENUE 2,01-68,6,DRINKS,2200,Feb-2023
BLK 117 ALJUNIED AVENUE 2,01-68,6,COOKED FOOD,2620,Jul-2023
BLK 117 ALJUNIED AVENUE 2,01-70,6,COOKED FOOD,2122,Jan-2018
BLK 117 ALJUNIED AVENUE 2,01-70,6,COOKED FOOD,1709,Jan-2019
BLK 117 ALJUNIED AVENUE 2,01-70,6,COOKED FOOD,3331,Jul-2024
BLK 117 ALJUNIED AVENUE 2,01-72,6,COOKED FOOD,1608,Jan-2019
BLK 117 ALJUNIED AVENUE 2,01-76,6,COOKED FOOD,2000,Jul-2024
BLK 117 ALJUNIED AVENUE 2,01-21,6,COOKED FOOD,3901,Nov-2024
BLK 117 ALJUNIED AVENUE 2,01-02,6,COOKED FOOD,2088,Mar-2018
BLK 117 ALJUNIED AVENUE 2,01-04,6,COOKED FOOD,2248,Jan-2018
BLK 117 ALJUNIED AVENUE 2,01-04,6,COOKED FOOD,2508,May-2018
BLK 117 ALJUNIED AVENUE 2,01-04,6,COOKED FOOD,2288,Jan-2019
BLK 117 ALJUNIED AVENUE 2,01-04,6,COOKED FOOD,1688,Mar-2020
BLK 117 ALJUNIED AVENUE 2,01-05,6,DRINKS,1638,Jan-2018
BLK 117 ALJUNIED AVENUE 2,01-07,6,COOKED FOOD,2300,Apr-2018
BLK 117 ALJUNIED AVENUE 2,01-07,6,DRINKS,2424,Oct-2018
BLK 117 ALJUNIED AVENUE 2,01-07,6,COOKED FOOD,2802,Oct-2020
BLK 117 ALJUNIED AVENUE 2,01-07,6,DRINKS,2809,Mar-2021
BLK 117 ALJUNIED AVENUE 2,01-07,6,COOKED FOOD,3501,Nov-2024
BLK 117 ALJUNIED AVENUE 2,01-08,6,COOKED FOOD,2108,Sep-2019
BLK 117 ALJUNIED AVENUE 2,01-09,6,COOKED FOOD,2600,Feb-2023
BLK 117 ALJUNIED AVENUE 2,01-09,6,COOKED FOOD,3889,Aug-2024
BLK 117 ALJUNIED AVENUE 2,01-09,6,COOKED FOOD,2680,Jul-2022
BLK 117 ALJUNIED AVENUE 2,01-10,6,COOKED FOOD,1869,Mar-2018
BLK 117 ALJUNIED AVENUE 2,01-10,6,COOKED FOOD,2000,Aug-2018
BLK 117 ALJUNIED AVENUE 2,01-39,6,HALAL COOKED FOOD,201,Sep-2019
BLK 117 ALJUNIED AVENUE 2,01-42,6,HALAL COOKED FOOD,300,Feb-2019
BLK 117 ALJUNIED AVENUE 2,01-67,6,INDIAN CUISINE,1107,Feb-2021
BLK 117 ALJUNIED AVENUE 2,01-69,6,INDIAN CUISINE,369,Oct-2020
BLK 117 ALJUNIED AVENUE 2,01-69,6,COOKED FOOD,2508,Jul-2021
BLK 117 ALJUNIED AVENUE 2,01-07,6,COOKED FOOD,3000,Nov-2022
BLK 117 ALJUNIED AVENUE 2,01-08,6,COOKED FOOD,2008,Feb-2019
BLK 120 BUKIT MERAH LANE 1,01-31,8.19,INDIAN CUISINE,818,Nov-2020
BLK 120 BUKIT MERAH LANE 1,01-31,8.19,INDIAN CUISINE,234,Oct-2022
BLK 120 BUKIT MERAH LANE 1,01-37,8.19,HALAL COOKED FOOD,128,Oct-2018
BLK 120 BUKIT MERAH LANE 1,01-37,8.19,COOKED FOOD,3633,Oct-2020
BLK 120 BUKIT MERAH LANE 1,01-37,8.19,COOKED FOOD,3800,Apr-2023
BLK 120 BUKIT MERAH LANE 1,01-44,8.19,INDIAN CUISINE,39,Nov-2022
BLK 120 BUKIT MERAH LANE 1,01-44,8.19,HALAL COOKED FOOD,3000,May-2024
BLK 120 BUKIT MERAH LANE 1,01-55,8.19,COOKED FOOD,2838,Feb-2020
BLK 120 BUKIT MERAH LANE 1,01-60,8.19,INDIAN CUISINE,1010,Aug-2018
BLK 120 BUKIT MERAH LANE 1,01-60,8.19,HALAL COOKED FOOD,1500,Mar-2019
BLK 120 BUKIT MERAH LANE 1,01-60,8.19,INDIAN CUISINE,280,Jul-2019
BLK 120 BUKIT MERAH LANE 1,01-61,8.19,HALAL COOKED FOOD,1000,Feb-2018
BLK 120 BUKIT MERAH LANE 1,01-61,8.19,HALAL COOKED FOOD,786,Jul-2018
BLK 120 BUKIT MERAH LANE 1,01-61,8.19,HALAL COOKED FOOD,418,May-2019
BLK 120 BUKIT MERAH LANE 1,01-61,8.19,HALAL COOKED FOOD,480,Mar-2020
BLK 120 BUKIT MERAH LANE 1,01-62,8.19,HALAL COOKED FOOD,200,Jun-2019
BLK 120 BUKIT MERAH LANE 1,01-62,8.19,HALAL COOKED FOOD,888,May-2022
BLK 120 BUKIT MERAH LANE 1,01-65,8.19,HALAL COOKED FOOD,1000,Mar-2018
BLK 120 BUKIT MERAH LANE 1,01-66,8.19,HALAL COOKED FOOD,612,Oct-2022
BLK 120 BUKIT MERAH LANE 1,01-69,8.19,HALAL COOKED FOOD,1080,Jun-2018
BLK 120 BUKIT MERAH LANE 1,01-69,8.19,COOKED FOOD,2318,Oct-2019
BLK 120 BUKIT MERAH LANE 1,01-71,8.19,COOKED FOOD,3089,Feb-2019
BLK 120 BUKIT MERAH LANE 1,01-71,8.19,DRINKS,2772,Jan-2020
BLK 120 BUKIT MERAH LANE 1,01-74,8.19,HALAL COOKED FOOD,333,Oct-2019
BLK 120 BUKIT MERAH LANE 1,01-74,8.19,COOKED FOOD,3200,May-2022
BLK 120 BUKIT MERAH LANE 1,01-74,8.19,COOKED FOOD,2803,Sep-2022
BLK 120 BUKIT MERAH LANE 1,01-79,8.19,HALAL COOKED FOOD,402,Mar-2019
BLK 120 BUKIT MERAH LANE 1,01-79,8.19,INDIAN CUISINE,317,Jul-2023
BLK 120 BUKIT MERAH LANE 1,01-80,8.19,DRINKS,4000,Jun-2024
BLK 120 BUKIT MERAH LANE 1,01-13,8.19,DRINKS,4000,Oct-2018
BLK 120 BUKIT MERAH LANE 1,01-13,8.19,COOKED FOOD,2612,Mar-2019
BLK 120 BUKIT MERAH LANE 1,01-13,8.19,INDIAN CUISINE,500,Jul-2020
BLK 120 BUKIT MERAH LANE 1,01-01,8.19,COOKED FOOD,3688,Aug-2022
BLK 120 BUKIT MERAH LANE 1,01-30,8.19,COOKED FOOD,4019,Aug-2023
