licensee_name,licence_number,premises_address,grade,demerit_points,suspension_start_date,suspension_end_date
REPUBLIC HOTELS & RESORTS LIMITED,W99288X000,392 HAVELOCK ROAD (FISH/MEAT) GRAND COPTHORNE WATERFRONT HOTEL (BASEMENT 1) SINGAPORE 169663,A,na,na,na
REPUBLIC HOTELS & RESORTS LIMITED,W99281K000,392 HAVELOCK ROAD (BANQUET KITCHEN) GRAND COPTHORNE WATERFRONT HOTEL (LEVEL 2) SINGAPORE 169663,A,na,na,na
M.K. RAMA PTE LTD,W96344L000,37 NORRIS ROAD SINGAPORE 208279,A,na,na,na
GRAND PARK PROPERTY PTE. LTD.,W96230L000,10 COLEMAN STREET (2ND STOREY) GRAND PARK CITY HALL SINGAPORE 179809,A,na,na,na
MILLENIA PRIVATE LIMITED,W96214L000,2 TEMASEK BOULEVARD #B1-00 CONRAD CENTENNIAL S'PORE SINGAPORE 038982,A,na,na,na
MILLENIA PRIVATE LIMITED,W96212P000,2 TEMASEK BOULEVARD (MAIN KITCHEN) #02-00 CONRAD CENTENNIAL S'PORE SINGAPORE 038982,A,na,na,na
BCH HOTEL INVESTMENT PTE LTD,W95267N000,80 MIDDLE ROAD HOTEL INTER-CONTINENTAL BASEMENT 1 (MAIN KITCHEN) SINGAPORE 188966,A,na,na,na
RCMS PROPERTIES PTE LTD,W95169X000,7 RAFFLES AVENUE (BANQUET FINISHING KITCHEN) RITZ CARLTON MILLENIA SINGAPORE (2ND FLR) SINGAPORE 039799,A,na,na,na
RCMS PROPERTIES PTE LTD,W95163J000,7 RAFFLES AVENUE (PRODUCTION KITCHEN) RITZ CARLTON MILLENIA SINGAPORE (1ST LEVEL) SINGAPORE 039799,A,na,na,na
SUNTEC SINGAPORE INTERNATIONAL CONVENTION & EXHIBITION SERVICES PTE. LTD.,W95017C000,1 RAFFLES BOULEVARD #06-00 SINGAPORE INT'L CONVENTION & EXHIBITION CENTER SINGAPORE 039593,A,na,na,na
AMARA HOTEL PROPERTIES PTE LTD?,W93088L000,165 TANJONG PAGAR ROAD #03-00 AMARA HOTEL SINGAPORE 088539,A,na,na,na
RC HOTELS (PTE.) LTD,W92112K000,2 STAMFORD ROAD WESTIN PLAZA AND STAMFORD RAFFLES KITCHEN LEVEL 4 SINGAPORE 178882,A,na,na,na
RC HOTELS (PTE.) LTD,W92111L000,2 STAMFORD ROAD WESTIN PLAZA AND STAMFORD RC HOTEL LEVEL 4 SINGAPORE 178882,A,na,na,na
RC HOTELS (PTE.) LTD,W92110N000,2 STAMFORD ROAD RAFFLES THE PLAZA - (PLAZA MEETING ROOM) SINGAPORE 178882,A,na,na,na
BEACH ROAD HOTEL (1886) LTD.,W91079J000,1/3 BEACH ROAD #B1-00 RAFFLES HOTEL SINGAPORE 189673,A,na,na,na
YIP KWOK HOONG,W90016B000,60 SENG POH LANE #01-07 SINGAPORE 160060,B,na,na,na
HOTEL MARINA CITY PRIVATE LIMITED?,W86135X000,7 RAFFLES BOULEVARD #01-00 PAN PACIFIC HOTEL SINGAPORE 039594,A,na,na,na
GOODWOOD PARK HOTEL LIMITED,W80146C000,22 SCOTTS ROAD SINGAPORE 228221,A,na,na,na
OVERSEAS UNION ENTERPRISE LTD,W80086E000,333 ORCHARD ROAD MANDARIN HOTEL (4TH STOREY) SINGAPORE 238867,A,na,na,na
HOTEL PROPERTIES LIMITED,W70042C000,581 ORCHARD ROAD #03 HILTON INTERNATIONAL SINGAPORE SINGAPORE 238883,A,na,na,na
HATIJAH BT SAHAK,W59005V000,416 TELOK BLANGAH ROAD SINGAPORE 098845,B,na,na,na
REPUBLIC HOTELS & RESORTS LIMITED,W03333C000,392 HAVELOCK ROAD (LEVEL 2) GRAND COPTHORNE WATERFRONT HOTEL SINGAPORE 169663,A,na,na,na
YIP KWOK HOONG,W03187K000,67 SENG POH LANE #01-16 SINGAPORE 160067,B,na,na,na
LIM ENG PENG @ TAY SUAN ENG,W03184P000,36 SIN MING DRIVE #01-371 (PART OF) SINGAPORE 575710,B,na,na,na
PRECIOUS TREASURE PTE LTD,W00381L000,1 FULLERTON SQUARE THE FULLERTON HOTEL (MUSLIM KITCHEN) SINGAPORE 049178,A,na,na,na
PRECIOUS TREASURE PTE LTD,W00356N000,1 FULLERTON SQUARE THE FULLERTON HOTEL (CENTRAL KITCHEN) SINGAPORE 049178,A,na,na,na
EASTWEST CURRY HOUSE PTE. LTD.,SW15E54X000,143 PANDAN LOOP UNIT E (part of) SINGAPORE 128454,na,na,na,na
FRIENDS CATERING SERVICES PTE. LTD.,SW15925N000,20 BUKIT BATOK CRESCENT #13-01 ENTERPRISE CENTRE SINGAPORE 658080,A,na,na,na
MOON RIVER INTERNATIONAL PTE. LTD.,SW15534N000,4008 DEPOT LANE #01-92 SINGAPORE 109762,B,na,na,na
PURPLE SAGE GROUP PTE. LTD.,SW15530A000,157 PANDAN LOOP SINGAPORE 128355,B,na,na,na
CAFE GALILEE PTE. LTD.,SW15043V000,20 CHIN BEE ROAD #01-03 SINGAPORE 619828,B,4,na,na
LIM KWEE HIN,SW14862X000,15 JALAN TEPONG #03-19 JURONG FOOD HUB SINGAPORE 619336,B,0,na,na
786 BANGALIANA PTE. LTD.,SW14795E000,177 PANDAN LOOP UNIT 3 (PART OF) SINGAPORE 128460,B,na,2016-02-21,2016-03-05
933 PTE. LTD.,SW14740N000,15 JALAN TEPONG #02-02 JURONG FOOD HUB SINGAPORE 619336,B,na,na,na
RASEL CATERING SINGAPORE PTE. LTD.,SW14722X000,253 PANDAN LOOP SINGAPORE 128432,A,6,na,na
TIM'S FINE CATERING SERVICES PTE. LTD.,SW14311C000,143 PANDAN LOOP (PART OF) UNIT A -KITCHEN 2 SINGAPORE 128454,A,na,na,na
ELSIE'S KITCHEN CATERING SERVICES PTE. LTD,SW14145X000,21 SECOND CHIN BEE ROAD (PART OF) SINGAPORE 618780,A,na,na,na
CATERING SOLUTIONS PTE. LTD.,SW14015N000,80 TUAS SOUTH BOULEVARD ANNEX BLOCK 4 (1ST STOREY) DORMITORY COMPOUND SINGAPORE 637051,A,na,na,na
THREE BOND JING HUA PTE. LTD.,SW13W58E000,20 BUKIT BATOK CRESCENT #11-24 ENTERPRISE CENTRE (UNIT A) -PART OF SINGAPORE 658080,B,na,na,na
THOMSON CATERING PTE. LTD.,SW13T95N000,15 JALAN TEPONG #06-11 JURONG FOOD HUB SINGAPORE 619336,A,na,na,na
SHEREEN'S KITCHEN (SK) PTE. LTD,SW13T41V000,20 BUKIT BATOK CRESCENT #11-24 (PART OF) UNIT D ENTERPRISE CENTRE SINGAPORE 658080,B,na,na,na
UFS FOOD INDUSTRIES PTE. LTD.,SW13143J000,177 PANDAN LOOP (PART OF) SINGAPORE 128460,B,na,na,na
STERLING TRENDS & CONCEPTS PTE. LTD.,SW12O40P000,230 PANDAN LOOP #01-03 SINGAPORE 128415,B,na,na,na
CITYVIEW PLACE HOLDINGS PTE LTD,SW12K26N000,21 OCEAN WAY W SINGAPORE SENTOSA COVE SECOND STOREY (BALLROOM) SINGAPORE 098374,na,na,na,na
ERRAWATY BINTE WAHID,SW12F51V000,145 PANDAN LOOP UNIT D PART OF SINGAPORE 128455,A,na,na,na
MAA TRADING PTE LTD,SW12F50A000,145 PANDAN LOOP (PART OF) UNIT C SINGAPORE 128455,B,na,na,na
QILE PTE. LTD.,SW11485J000,10 TUAS BAY WALK #01-08 SINGAPORE 637780,B,4,na,na
SHIRAZ FNB PTE. LTD.,SW11404V000,15 JALAN TEPONG #01-05 JURONG FOOD HUB SINGAPORE 619336,A,na,na,na
TAN CHEE HOON,SW11370E000,10 TUAS BAY WALK #02-12 SINGAPORE 637780,B,na,na,na
THOMSON CATERING PTE. LTD.,SW10902B000,15 JALAN TEPONG #06-10 JURONG FOOD HUB SINGAPORE 619336,A,na,na,na
BOTAK JOE CENTER KITCHEN PTE. LTD.,SW10744P000,20 BUKIT BATOK CRESCENT #13-03A ENTERPRISE CENTRE - UNIT A SINGAPORE 658080,na,na,na,na
SEMMY'S CATERING PTE. LTD.,SW10731C000,15 JALAN TEPONG #04-17 JURONG FOOD HUB SINGAPORE 619336,B,na,na,na
I'S-POT CUISINE PTE. LTD.,SW10309B000,20 BUKIT BATOK CRESCENT #11-02 ENTERPRISE CENTRE SINGAPORE 658080,B,na,na,na
RESORTS WORLD AT SENTOSA PTE. LTD.,SW09786A000,8 SENTOSA GATEWAY HARD ROCK HOTEL LEVEL B2 (BALLROOM) SINGAPORE 098269,A,na,na,na
S&S UNITED FOOD SERVICES PTE. LTD.,SW09618J000,10 TUAS BAY WALK #02-24 SINGAPORE 637780,B,na,na,na
Haliza Binti Halid,SW09250K000,52 INTERNATIONAL ROAD #02-11/12 SINGAPORE 619626,A,na,na,na
PERIASAMY KALIMUTHU,SW09140V000,52 INTERNATIONAL ROAD #02-13 SINGAPORE 619626,B,na,na,na
CONTINENTAL DELIGHT CATERING SERVICES PTE. LTD.,SW08811X000,21 SECOND CHIN BEE ROAD SINGAPORE 618780,A,na,na,na
RICHFOOD CATERING PTE. LTD.,SW08497V000,20 BUKIT BATOK CRESCENT #13-03 (UNIT B) ENTERPRISE CENTRE SINGAPORE 658080,B,na,na,na
BBE.SG PTE. LTD,SW08140E000,143 PANDAN LOOP (PART OF) UNIT C SINGAPORE 128454,A,na,na,na
SENTOSA LEISURE MANAGEMENT PTE LTD,SW07614K000,35 ARTILLERY AVENUE #01-05 SENTOSA SINGAPORE 099956,A,na,na,na
RASHIDA EATING HOUSE (S) PTE. LTD.,SW06367K000,6 TUAS BAY WALK #02-10 BCT BUILDING SINGAPORE 637752,C,na,na,na
MA TRADING & FOOD PTE. LTD.,SW06185X000,143 PANDAN LOOP UNIT B (PART OF) SINGAPORE 128454,na,na,na,na
TIM'S GOURMET CATERING PRIVATE LIMITED,SW06093B000,143 PANDAN LOOP UNIT A (PART OF) - KITCHEN 1 SINGAPORE 128454,B,na,na,na
FUS'ZIN PALATE CATERING PTE LTD,SW05121N000,20 BUKIT BATOK CRESCENT #13-21 ENTERPRISE CENTRE SINGAPORE 658080,A,na,na,na
DHANU SHRI RESTAURANT & CATERING PTE. LTD.,SW04063J000,71 QUALITY ROAD (PART OF) SINGAPORE 618823,na,na,na,na
THE GRANARY PTE. LTD.,SE16186K000,5 BURN ROAD #05-01 TEE YIH JIA FOOD BUILDING SINGAPORE 369972,na,na,na,na
HAIG ROAD PUTU PIRING PTE. LTD.,SE16060N000,3017 BEDOK NORTH STREET 5 #02-01 GOURMET EAST KITCHEN SINGAPORE 486121,na,na,na,na
MANNA POT CATERING PTE. LTD.,SE15524A000,3015 BEDOK NORTH STREET 5 #06-16\17 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
HEZOM FOODS (PTE.) LTD.,SE14C37A000,3020 UBI AVENUE 2 #04-115 SINGAPORE 408896,B,na,na,na
PUAN KENG HOON,SE14888B000,3020 UBI AVENUE 2 #04-101 SINGAPORE 408896,B,na,na,na
TEAM CATERING PTE. LTD.,SE14650V000,3015 BEDOK NORTH STREET 5 #01-01 SHIMEI EAST KITCHEN SINGAPORE 486350,B,4,na,na
SPORTS CATERING SERVICES PTE. LTD.,SE14320E000,1 STADIUM DRIVE CENTRAL PRODUCTION UNIT SINGAPORE 397629,A,na,na,na
CURRY POT CATERING PTE. LTD.,SE14273J000,5 HARRISON ROAD #03-02 YAN XIAN BUILDING SINGAPORE 369645,B,na,na,na
DELIZIO CATERING PTE. LTD.,SE14222J000,5 BURN ROAD #03-01 TEE YIH JIA FOOD BUILDING SINGAPORE 369972,A,na,na,na
HUNGRY BBQ PRIVATE LIMITED,SE14179B000,1012 ALJUNIED AVENUE 3 #01-27 SINGAPORE 389935,A,na,na,na
TAN CHING HAI,SE14021A000,3020 UBI AVENUE 2 #01-109 SINGAPORE 408896,B,6,na,na
FOUR SEASONS CATERING PTE LTD,SE13V46B000,171 KAMPONG AMPAT #05-07 KA FOODLINK SINGAPORE 368330,A,na,na,na
QI JI PTE LTD,SE13T20L000,171 KAMPONG AMPAT #04-11 KA FOODLINK SINGAPORE 368330,B,na,na,na
CHILLI PADI NONYA RESTAURANT PTE. LTD.,SE13S52B000,3015 BEDOK NORTH STREET 5 #05-27 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
TAM KAH SHARK'S FIN PTE. LTD.,SE13R76N000,1008 ALJUNIED AVENUE 4 #01-33 SINGAPORE 389909,B,4,na,na
TAN TAI ZHENG,SE13216L000,171 KAMPONG AMPAT #02-02 KA FOODLINK SINGAPORE 368330,A,na,na,na
GLORY RESTAURANT & CATERING PTE. LTD.,SE13124X000,1010 ALJUNIED AVENUE 4 #01-16 SINGAPORE 389911,B,na,na,na
SPICE VILLAGE CATERING PTE. LTD.,SE13009A000,3015 BEDOK NORTH STREET 5 #02-03 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
NOSH CUISINE PTE. LTD.,SE12O16V000,171 KAMPONG AMPAT #06-10 KA FOODLINK SINGAPORE 368330,B,10,na,na
OR CHEE YONG,SE12M63X000,1007 ALJUNIED AVENUE 4 #01-15 SINGAPORE 389908,B,na,na,na
LEE BEE KIEN,SE12K44N000,3017 BEDOK NORTH STREET 5 #06-21 GOURMET EAST KITCHEN SINGAPORE 486121,B,na,na,na
TUNG LOK MILLENNIUM PTE LTD,SE12K16A000,1 EXPO DRIVE #02-05 MAX ATRIA @ SINGAPORE EXPO SINGAPORE 486150,A,na,na,na
KAY FIERY HOLDINGS PTE. LTD.,SE12J77B000,3020 UBI AVENUE 2 #04-131 SINGAPORE 408896,B,na,na,na
EATZ CATERING SERVICES PTE. LTD.,SE12I20V000,3017 BEDOK NORTH STREET 5 #01-02 GOURMET EAST KITCHEN SINGAPORE 486121,B,4,na,na
CATERING CULTURE PTE. LTD.,SE11426L000,3017 BEDOK NORTH STREET 5 #01-12 GOURMET EAST KITCHEN SINGAPORE 486121,B,na,na,na
FORTE ( F&B ) PTE. LTD.,SE11380E000,3015 BEDOK NORTH STREET 5 #06-23 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
SRM RESTAURANT & CATERING SERVICES PTE. LTD.,SE11011E000,1012 ALJUNIED AVENUE 3 #01-41 SINGAPORE 389935,B,10,2016-04-13,2016-04-26
THE CATERERS PTE LTD,SE10480A000,1010 ALJUNIED AVENUE 4 #01-02 SINGAPORE 389911,B,na,na,na
SINGAPORE CORPORATION OF REHABILITATIVE ENTERPRISES,SE10333E000,982C UPPER CHANGI ROAD NORTH BLK B3 SINGAPORE 506980,A,na,na,na
KONEKO LLP,SE10247A000,3020 UBI AVENUE 2 #03-123 SINGAPORE 408896,A,na,na,na
QILIN CATERING PTE. LTD.,SE10236E000,1012 ALJUNIED AVENUE 3 #01-35 SINGAPORE 389935,B,na,na,na
GOH WEE LIAM,SE10117X000,3017 BEDOK NORTH STREET 5 #03-28 GOURMET EAST KITCHEN SINGAPORE 486121,B,na,na,na
SRISUN PRATA . COM FOOD HOLDING'S PTE. LTD.,SE09740K000,3020 UBI AVENUE 2 #01-105 SINGAPORE 408896,B,na,na,na
CHEONG LOK FOOD MARKETING PTE. LTD.,SE09697C000,3015 BEDOK NORTH STREET 5 #06-04 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
F C CATERING PTE. LTD.,SE09683P000,3015 BEDOK NORTH STREET 5 #06-09 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
CHIN CHEE LEONG,SE09607X000,3020 UBI AVENUE 2 #03-137 SINGAPORE 408896,B,na,na,na
THE SHEPHERD'S PIE LLP,SE09222A000,3015 BEDOK NORTH STREET 5 #06-05 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
SINGAPORE NUTRI-DIET INDUSTRIES PTE.LTD.,SE09138L000,3017 BEDOK NORTH STREET 5 #06-03 GOURMET EAST KITCHEN SINGAPORE 486121,B,na,na,na
THE MASALA HUT PRIVATE LIMITED,SE08451J000,3015 BEDOK NORTH STREET 5 #05-16 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
PASUMPON RESTAURANT & CATERING PTE. LTD.,SE08382A000,1009 ALJUNIED AVENUE 4 #01-22 SINGAPORE 389910,C,na,na,na
K G CATERING PTE. LTD,SE08322B000,171 KAMPONG AMPAT #06-03 KA FOODLINK SINGAPORE 368330,B,4,na,na
RONG YI KEE PTE. LTD.,SE08220L000,1010 ALJUNIED AVENUE 4 #01-12 SINGAPORE 389911,B,na,na,na
GOLDAZ CATERING PTE LTD,SE08170V000,1009 ALJUNIED AVENUE 4 #01-24 SINGAPORE 389910,B,10,na,na
SINGAPORE CORPORATION OF REHABILITATIVE ENTERPRISES,SE08168J000,982C UPPER CHANGI ROAD NORTH SINGAPORE 506980,A,na,na,na
AM CHEF CATERING PTE.LTD.,SE07842P000,1008 ALJUNIED AVENUE 4 #01-27 SINGAPORE 389909,B,na,na,na
MODERN FEASTS PTE. LTD.,SE07723E000,3015 BEDOK NORTH STREET 5 #05-18 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
CREATIVE EATERIES EXPO PTE LTD,SE07543K000,1 EXPO DRIVE #01-07A SINGAPORE EXPO SINGAPORE 486150,A,na,na,na
SMILING ORCHID (SINGAPORE) PRIVATE LIMITED,SE07495N000,171 KAMPONG AMPAT #02-03 KA FOODLINK SINGAPORE 368330,B,6,2015-11-08,2015-11-21
TAN HNG KHIN,SE07461L000,171 KAMPONG AMPAT #04-14 KA FOODLINK SINGAPORE 368330,A,6,na,na
NOORJAHAN BTE ALAUDIN,SE07068A000,1011 ALJUNIED AVENUE 3 #01-19 SINGAPORE 389934,C,na,na,na
ORCHID THAI PTE. LTD.,SE06674V000,1007 ALJUNIED AVENUE 4 #01-11 SINGAPORE 389908,B,na,na,na
MEGU CATERING CONCEPTS PTE. LTD.,SE06631V000,171 KAMPONG AMPAT #06-04 KA FOODLINK SINGAPORE 368330,B,na,na,na
TEO HENG WAH,SE06530E000,3015 BEDOK NORTH STREET 5 #04-03 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
KATE'S FOOD SUPPLIES PTE LTD,SE06409E000,171 KAMPONG AMPAT #04-04 KA FOODLINK SINGAPORE 368330,B,na,na,na
CHENNAI PONNUSAMY HOTEL & RESTAURANT PTE. LTD.,SE06404P000,1005 ALJUNIED AVENUE 5 #01-40 SINGAPORE 389886,B,6,na,na
STYLZE CATERING PTE. LTD.,SE05318X000,3017 BEDOK NORTH STREET 5 #02-34 GOURMET EAST KITCHEN SINGAPORE 486121,A,6,na,na
ABDUL RAJAK BIN AHMAD,SE05237X000,3015 BEDOK NORTH STREET 5 #05-06 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
ZAINUDDIN BIN SAJAT,SE05230K000,3020 UBI AVENUE 2 #04-119 SINGAPORE 408896,B,na,na,na
HJ. MAIMUNAH MANUFACTURING AND CATERING PTE. LTD.,SE05053J000,3017 BEDOK NORTH STREET 5 #04-08 SINGAPORE 486121,B,na,na,na
GUSTOS PTE. LTD.,SE04248V000,171 KAMPONG AMPAT #05-08 KA FOODLINK SINGAPORE 368330,A,na,na,na
ANGEL'S RESTAURANT PTE LTD,SE04163E000,3017 BEDOK NORTH STREET 5 #02-31 SINGAPORE 486121,B,na,na,na
HENG AIK HUA,SE04139E000,3017 BEDOK NORTH STREET 5 #02-27 GOURMET EAST KITCHEN SINGAPORE 486121,B,na,na,na
SEAFOOD PARK PTE. LTD.,SE04125X000,3017 BEDOK NORTH STREET 5 #01-06 SINGAPORE 486121,B,na,na,na
TAN HUNY,SE04119N000,3017 BEDOK NORTH STREET 5 #02-13 SINGAPORE 486121,B,na,na,na
KCK FOOD CATERING PTE. LTD.,SE04103J000,3017 BEDOK NORTH STREET 5 #04-22 SINGAPORE 486121,B,na,2015-06-11,2015-06-24
FIRST CUISINE CATERING PTE. LTD.,SE04051V000,3015 BEDOK NORTH STREET 5 #06-20 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
NONYA MANIS CATERERS PTE LTD,SE04050A000,3017 BEDOK NORTH STREET 5 #05-26 SINGAPORE 486121,A,na,na,na
CHERISH DELIGHTS PTE. LTD.,SE04032C000,3015 BEDOK NORTH STREET 5 #02-08 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
MAPOLLO CATERING PTE LTD,SE04005K000,3017 BEDOK NORTH STREET 5 #01-19 SINGAPORE 486121,B,na,na,na
CHILLI API CATERING PTE. LTD.,SE03006P000,3015 BEDOK NORTH STREET 5 #06-19 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
CHEO BOON CHUAN,S96149C000,BLK 23 DEFU LANE 10 #01-252 SINGAPORE 539204,B,na,na,na
LEE CHOO CHET,S96123B000,BLK 18 DEFU LANE 10 #01-318 SINGAPORE 539199,C,na,na,na
ONG SWEE TEN,S96087V000,BLK 36 SIN MING DRIVE #01-371 FOOD CATERING (2) SINGAPORE 576710,B,na,na,na
OH CHONG CHING,S88080E000,46 LORONG 1 REALTY PARK PEOPLE'S GARDEN SINGAPORE 536961,B,na,na,na
LEE WEE & BROTHERS' FOODSTUFF PTE. LTD.,S03010A000,27 DEFU LANE 10 #01-158 SINGAPORE 539208,A,na,na,na
CHILLI API CATERING PTE. LTD.,S02198V000,3015 BEDOK NORTH STREET 5 #06-27/15 SIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
LEE WEE & BROTHERS' FOODSTUFF PTE. LTD.,S02118J000,42 LORONG 1 REALTY PARK PEOPLE'S GARDEN SINGAPORE 536959,A,na,na,na
LIN MEE LAN,S02110B000,3015 BEDOK NORTH STREET 5 #04-01 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
BROSON CATERING PTE. LTD.,S01292L000,3015 BEDOK NORTH STREET 5 #05-21 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
ROYAL CATERING SERVICES PTE LTD,S01115A000,3015 BEDOK NORTH STREET 5 #05-11 SHIMEI EAST KITCHEN SINGAPORE 486350,A,6,na,na
MASAKAN SHAIK SABRI PTE LTD,S01103J000,3015 BEDOK NORTH STREET 5 #05-19 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
SIAU SU GIAN,S01051V000,3015 BEDOK NORTH STREET 5 #04-02 SHIMEI EAST KITCHEN SINGAPORE 486350,B,6,na,na
MUM'S KITCHEN CATERING PTE. LTD.,S01046N000,3015 BEDOK NORTH STREET 5 #02-06 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
TECK EE FOOD HOLDINGS PTE. LTD.,S01042A000,3015 BEDOK NORTH STREET 5 #04-04 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
ZAINAL ABIDIN BIN MOHAMAD,S01024C000,3015 BEDOK NORTH STREET 5 #06-02 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
JESSIE CATERING PTE. LTD.,S00146P000,3015 BEDOK NORTH STREET 5 #04-09 SHIMEI EAST KITCHEN SINGAPORE 486350,A,na,na,na
TAN KOON ENG,S00135A000,3015 BEDOK NORTH STREET 5 #05-12 SHIMEI EAST KITCHEN SINGAPORE 486350,B,na,na,na
M.A.C.R.O.S & CO PTE. LTD.,NW16147K000,8A ADMIRALTY STREET #06-40 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,na,na,na,na
CHUN HONG CATERING PTE. LTD.,NW16011X000,8A ADMIRALTY STREET #03-17 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,na,na,na,na
SELECT CATERING SERVICES PTE. LTD.,NW15718N000,24A SENOKO SOUTH ROAD #01-02 SINGAPORE 758099,A,na,na,na
STAMFORD CATERING SERVICES PTE LTD,NW15717P000,24A SENOKO SOUTH ROAD #01-01 SINGAPORE 758099,A,na,na,na
SOON YUAN VEGETARIAN FOOD PTE. LTD.,NW15657E000,8A ADMIRALTY STREET #03-11 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,na,na,na
AISHWARYA RESTAURANT & CATERING PTE. LTD.,NW15476L000,8A ADMIRALTY STREET #01-02 FOODXCHANGE @ADMIRALTY SINGAPORE 757437,B,na,na,na
WONDER RICE PTE. LTD.,NW15304E000,1 SENOKO AVENUE #04-04 FOODAXIS @ SENOKO SINGAPORE 758297,A,na,na,na
Thyme Food & Services Pte Ltd,NW15197V000,8A ADMIRALTY STREET #07-21 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,A,na,na,na
UNIVERSAL CATERING PTE. LTD.,NW15162V000,8A ADMIRALTY STREET #06-26 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,A,na,na,na
FIVE STARS FOOD PTE. LTD.,NW15119C000,1 SENOKO AVENUE (PART) #01-01 FOODAXIS @ SENOKO SINGAPORE 758297,B,na,na,na
TRPTI FOOD PTE. LTD.,NW14601B000,8A ADMIRALTY STREET #06-34 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,4,na,na
LEE MEI LI,NW14269J000,8A ADMIRALTY STREET #03-38 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,na,na,na
WANG CHUN HONG,NW14107V000,8A ADMIRALTY STREET #03-33 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,12,2016-06-01,2016-06-24
HE YUAN FANG SHANGHAI CUISINE PTE LTD,NW14004K000,8A ADMIRALTY STREET #02-05 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,4,na,na
DES KITCHEN PTE. LTD.,NW13M46V000,8A ADMIRALTY STREET #02-30 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,na,na,na,na
OBAYED HOLDINGS PTE. LTD.,NW13M02A000,8A ADMIRALTY STREET #04-23 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,4,na,na
EE HUI FOOD CATERING PTE. LTD.,NW13L98B000,58 SENOKO DRIVE SENOKO INDUSTRIAL ESTATE SINGAPORE 758237,B,na,na,na
AMG FOOD PTE. LTD.,NW13K72E000,15 WOODLANDS LOOP #01-33 SINGAPORE 738322,A,na,na,na
VS CATERING PTE. LTD.,NW12G98X000,8A ADMIRALTY STREET #05-08 FOOD XCHANGE @ADMIRALTY SINGAPORE 757437,C,4,na,na
MAESTROSOFT PTE LTD,NW12G81N000,8A ADMIRALTY STREET #05-41 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,na,na,na
CJS CATERING PTE LTD,NW12G29A000,1 SENOKO AVENUE #03-05 FOODAXIS @ SENOKO SINGAPORE 758297,A,na,na,na
CMS RESTAURANTS & CATERING PTE. LTD.,NW12E69X000,8A ADMIRALTY STREET #02-11 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,4,na,na
LUXE CATERING PTE. LTD.,NW12E65C000,8A ADMIRALTY STREET #01-34 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,A,na,na,na
SLS VEGETARIAN FOOD PTE. LTD.,NW12D83E000,15 WOODLANDS LOOP #04-23 SINGAPORE 738322,B,na,na,na
BRINDA'S PTE LTD,NW12C40L000,15 WOODLANDS LOOP #01-55/56 SINGAPORE 738322,A,na,na,na
SINAR F & B PTE. LTD.,NW12A95P000,8A ADMIRALTY STREET #02-38 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,na,na,na
K&K FOOD TRADING PTE. LTD.,NW12A94X000,8A ADMIRALTY STREET #07-22 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,C,4,na,na
AL-JAILANI HOLDINGS PTE. LTD.,NW12A62L000,8A ADMIRALTY STREET #03-18 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,A,na,na,na
