"","lon","lat","type","loctype","address","north","south","east","west"
"96",103.7773319,1.4438985,"establishment","rooftop","20 marsiling ln, singapore 730020",1.4452474802915,1.4425495197085,103.778680880292,103.775982919708
"97",103.7124483,1.3461938,"premise","rooftop","221 boon lay pl, singapore 640221",1.3477154802915,1.3450175197085,103.713830230292,103.711132269709
"98",103.8287358,1.288844,"premise","rooftop","22 havelock rd, block 22, singapore 160022",1.2901159302915,1.2874179697085,103.830191330291,103.827493369709
"99",103.88493,1.3256079,"establishment","rooftop","79a circuit rd, singapore 371079",1.3269568802915,1.3242589197085,103.886278980291,103.883581019709
"100",103.8540838,1.3234136,"establishment","rooftop","91 whampoa dr, singapore 320091",1.3247625802915,1.3220646197085,103.855432780291,103.852734819709
"101",-94.5814916,39.1109456,"establishment","rooftop","202 grand blvd, kansas city, mo 64106, usa",39.1122945802915,39.1095966197085,-94.5801426197085,-94.5828405802915
"102",103.8283204,1.4316885,"establishment","rooftop","105 yishun ring rd, singapore 760105",1.4330374802915,1.4303395197085,103.829669380292,103.826971419708
"103",103.8457896,1.2851501,"establishment","rooftop","531a upper cross st, singapore 051531",1.2864990802915,1.2838011197085,103.847138580291,103.844440619708
"104",27.1793796,38.1487434,"establishment","geometric_center","çileme, 35471 menderes/izmir, turkey",38.1500923802915,38.1473944197085,27.1807285802915,27.1780306197085
"105",103.8502203,1.3161946,"establishment","rooftop","41 cambridge rd, singapore 210041",1.3175435802915,1.3148456197085,103.851569280291,103.848871319708
"106",103.8425582,1.2852104,"establishment","rooftop","32 new market rd, singapore 050032",1.2865593802915,1.2838614197085,103.843907180291,103.841209219709
"107",103.850654,1.306251,"establishment","geometric_center","bukit timah rd, singapore",1.3075999802915,1.3049020197085,103.852002980292,103.849305019708
