,BusStopCode,RoadName,Description,Latitude,Longitude,geometry,area
3887,67481,Sengkang West Ave,Fernvale Stn/Blk 439A,1.39149794105559,103.87764586518084,POINT (103.8776458651808 1.39149794105559),FERNVALE
3888,67489,Sengkang West Ave,Opp Fernvale Stn,1.39100245036434,103.87708498686095,POINT (103.877084986861 1.39100245036434),FERNVALE
3889,67491,Sengkang West Ave,Opp Fernvale Pr Sch,1.39087538517899,103.87466488789592,POINT (103.8746648878959 1.39087538517899),FERNVALE
3890,67499,Sengkang West Ave,Fernvale Pr Sch,1.39068028707514,103.87467870992985,POINT (103.8746787099299 1.39068028707514),FERNVALE
3891,67501,Sengkang East Dr,Blk 117C,1.38354973187936,103.903650012666,POINT (103.903650012666 1.38354973187936),RIVERVALE
3892,67509,Sengkang East Dr,Opp Blk 119A,1.38409640027402,103.9043380418217,POINT (103.9043380418217 1.38409640027402),RIVERVALE
3893,67511,Sengkang East Dr,Blk 121E,1.38603041619808,103.90624523161839,POINT (103.9062452316184 1.38603041619808),RIVERVALE
3894,67519,Sengkang East Dr,Opp Blk 121E,1.38565333297959,103.9062883329725,POINT (103.9062883329725 1.38565333297959),RIVERVALE
3895,67521,Sengkang East Dr,Blk 160,1.38710967446608,103.90839913039454,POINT (103.9083991303945 1.38710967446608),RIVERVALE
3896,67529,Sengkang East Dr,Opp Blk 157A,1.38731666838873,103.9092635072425,POINT (103.9092635072425 1.38731666838873),RIVERVALE
3897,67531,Sengkang East Way,Blk 158C,1.38786807176296,103.90676693747147,POINT (103.9067669374715 1.38786807176296),RIVERVALE
3898,67539,Sengkang East Way,Blk 122C,1.38772020397705,103.90661294770753,POINT (103.9066129477075 1.38772020397705),RIVERVALE
3899,67541,Sengkang East Way,Hockey Stadium,1.39478256874239,103.88633251190507,POINT (103.8863325119051 1.39478256874239),ANCHORVALE
3900,67549,Sengkang East Way,Opp Hockey Stadium,1.39454660425441,103.88618230819876,POINT (103.8861823081988 1.39454660425441),ANCHORVALE
3901,67551,Sengkang West Way,Blk 471A,1.39600529337669,103.87927293767908,POINT (103.8792729376791 1.39600529337669),FERNVALE
3902,67559,Sengkang West Way,Opp Blk 471A,1.3954939065925,103.88094503218825,POINT (103.8809450321883 1.3954939065925),FERNVALE
3903,67561,Sengkang West Way,Opp Blk 432A,1.39545828505824,103.87697696683591,POINT (103.8769769668359 1.39545828505824),FERNVALE
3904,67569,Sengkang West Way,Blk 432A,1.39504999232889,103.87700000087196,POINT (103.877000000872 1.39504999232889),FERNVALE
3905,67571,Sengkang West Way,Aft Lor Tanggam,1.39515796674426,103.87391924861367,POINT (103.8739192486137 1.39515796674426),FERNVALE
3906,67579,Sengkang West Way,Bef Jln Kayu,1.39483619700068,103.8734686374815,POINT (103.8734686374815 1.39483619700068),FERNVALE
3907,67581,Anchorvale Link,Blk 319A,1.3910420487699,103.88974726496834,POINT (103.8897472649683 1.3910420487699),ANCHORVALE
3908,67591,Sengkang East Rd,Blk 286B,1.39790048032037,103.8953647897483,POINT (103.8953647897483 1.39790048032037),SENGKANG TOWN CENTRE
3909,67599,Sengkang East Rd,Opp Blk 293D,1.3972004371065,103.89490664468322,POINT (103.8949066446832 1.3972004371065),ANCHORVALE
3910,67601,Sengkang Ctrl,Buangkok Stn Exit B,1.38334470717282,103.8932683273077,POINT (103.8932683273077 1.38334470717282),COMPASSVALE
3911,67609,Sengkang Ctrl,Buangkok Stn Exit A,1.38393305306468,103.89303978530081,POINT (103.8930397853008 1.38393305306468),COMPASSVALE
3912,67611,Sengkang Ctrl,Blk 204C,1.38776293807936,103.89426271274473,POINT (103.8942627127447 1.38776293807936),SENGKANG TOWN CENTRE
3913,67619,Sengkang Ctrl,Blk 201C,1.38776797851536,103.89401435851151,POINT (103.8940143585115 1.38776797851536),SENGKANG TOWN CENTRE
3914,67621,Buangkok Dr,Opp Blk 558,1.38095802621952,103.89025132744938,POINT (103.8902513274494 1.38095802621952),COMPASSVALE
3915,67629,Buangkok Dr,Blk 557,1.38027975053648,103.89060499842181,POINT (103.8906049984218 1.38027975053648),HOUGANG WEST
3916,67641,Anchorvale Cres,BEF ANCHORVALE ST,1.398044,103.8934405,POINT (103.8934405 1.398044),ANCHORVALE
3917,67649,Anchorvale Cres,AFT ANCHORVALE ST,1.398051,103.8933425,POINT (103.8933425 1.398051),ANCHORVALE
3918,67651,Fernvale Lane,Bef Sengkang West Rd,1.38939833797873,103.87040021599799,POINT (103.870400215998 1.38939833797873),FERNVALE
3919,67659,Fernvale Lane,Aft Sengkang West Rd,1.38980594691547,103.87074360172006,POINT (103.8707436017201 1.38980594691547),FERNVALE
3920,67661,Rivervale Cres,Opp Blk 178A,1.38889400053531,103.90878400579224,POINT (103.9087840057922 1.38889400053531),RIVERVALE
3921,67671,Rivervale Cres,Blk 156A CP,1.39200512922492,103.90712750531712,POINT (103.9071275053171 1.39200512922492),RIVERVALE
3922,67691,Anchorvale Cres,BLK 338A,1.39899,103.8887775,POINT (103.8887775 1.39899),ANCHORVALE
3923,67699,Anchorvale Cres,BLK 334A,1.3988295,103.889524,POINT (103.889524 1.3988295),ANCHORVALE
3924,67701,Fernvale St,AFT BLK 467B,1.3984935,103.877445,POINT (103.877445 1.3984935),FERNVALE
